Ford Harrison; Hanks Tom  
Martin Steve; Hanks Tom  
Ford Harrison; Hanks Tom  
Cage Nicolas; Hanks Tom  
Gibson Mel; Hanks Tom  
Jones James Earl; Hanks Tom  
Cage Nicolas; Hanks Tom  
Jones James Earl; Hanks Tom  
Hanks Tom; DeNiro Robert  
Cage Nicolas; DeNiro Robert  
Connery Sean; DeNiro Robert  
Gibson Mel; Hanks Tom  
Nicholson Jack; Hanks Tom  
Gibson Mel; Hanks Tom  
Williams Robin; Hanks Tom  
Gibson Mel; Hanks Tom  
Hopkins Anthony; Hanks Tom  
Nicholson Jack; Hanks Tom  
Eastwood Clint; Hanks Tom  
Nicholson Jack; Hanks Tom  
Hopkins Anthony; Hanks Tom  
Jackson Samuel L.; Hanks Tom  
Hackman Gene; Hanks Tom  
Jackson Samuel L.; Hanks Tom  
Hopkins Anthony; Hanks Tom  
Cusack Joan; Cusack John  
Cage Nicolas; Cusack John  
Cusack Joan; Cusack John  
DeNiro Robert; Pacino Al  
Pitt Brad; Pacino Al  
